N,Triton-1Stage,Torch,Triton-3Stages,Triton-3Stages-Atomic
1024.000000,392.725083,278.691303,242.866464,34.819059
1536.000000,357.063355,368.136684,282.762062,51.411286
2048.000000,465.775020,446.677730,356.810212,66.761701
2560.000000,523.241521,503.638826,465.619891,81.281811
3072.000000,597.763024,556.027916,535.215319,95.505972
3584.000000,677.124745,598.209625,606.113318,108.356151
4096.000000,776.004448,635.982396,674.054480,122.122693
4608.000000,682.370518,662.490992,705.320160,134.533434
5120.000000,757.094598,693.732040,760.388675,146.531017
5632.000000,802.388577,716.195967,811.991250,157.535242
6144.000000,885.185510,738.653288,869.285798,167.951311
6656.000000,882.868381,751.460225,911.500367,175.901513
7168.000000,921.246562,767.886152,957.603662,183.420551
7680.000000,957.021039,778.260277,995.168590,185.288048
8192.000000,990.682953,788.959131,1037.231283,192.024904
8704.000000,787.706214,801.699644,1004.552980,127.902762
9216.000000,813.901194,818.134716,1040.770222,131.368492
9728.000000,837.626380,819.368470,1064.259879,134.778410
10240.000000,868.925658,826.463866,1106.092880,138.159135
10752.000000,881.156308,835.677240,1143.901097,146.717498
11264.000000,913.068328,847.801221,1182.705578,154.475993
11776.000000,943.000870,845.329414,1208.884577,154.012788
12288.000000,973.721164,851.059310,1229.700684,151.665302
12800.000000,981.996628,867.021665,1236.820003,150.519060
13312.000000,1010.301100,879.308995,1255.490475,151.739161
13824.000000,1031.950170,871.661045,1271.572048,154.244358
14336.000000,1055.360444,875.115545,1299.120666,155.467979
14848.000000,1044.793121,882.562844,1306.356163,158.721734
15360.000000,1058.454880,890.006525,1323.124283,161.617759
15872.000000,1065.765759,888.988308,1339.619007,163.261925
16384.000000,1079.614926,900.790097,1366.501023,167.191214
16896.000000,554.490942,893.903548,1077.136439,135.476295
17408.000000,565.943060,902.343294,1091.932084,137.319525
17920.000000,576.593270,897.424133,1097.985355,139.493952
18432.000000,589.593692,902.000847,1107.488162,140.900808
18944.000000,595.850431,908.814961,1122.607451,143.088345
19456.000000,609.683823,919.166968,1134.079605,145.446843
19968.000000,623.153765,910.992709,1145.503167,147.108998
20480.000000,636.368414,922.230396,1158.007756,149.091045
20992.000000,639.803811,920.591334,1166.032469,150.533504
21504.000000,645.797959,925.700292,1170.192472,152.467338
22016.000000,656.600697,918.772654,1171.441068,154.195751
22528.000000,666.869142,925.709158,1179.832293,156.638044
23040.000000,671.733526,931.607492,1189.535957,158.190720
23552.000000,683.014667,938.049329,1198.521448,160.236850
24064.000000,692.129396,935.517680,1210.737577,162.336984
24576.000000,701.877694,941.042335,1224.167505,165.385106
25088.000000,698.243140,936.740623,1229.044973,142.982998
25600.000000,708.353722,946.540163,1235.799670,144.318646
26112.000000,715.368569,947.424521,1239.623876,145.756626
26624.000000,723.972024,951.172268,1250.165171,146.889079
27136.000000,731.051385,949.910764,1249.427347,148.418404
27648.000000,741.043080,952.289014,1261.796199,150.150145
28160.000000,751.765366,946.523571,1275.498854,151.383148
28672.000000,762.749299,953.173556,1288.148673,152.848671
29184.000000,761.168193,952.263680,1294.047744,154.108966
29696.000000,771.500836,951.684647,1302.439365,155.302945
30208.000000,778.188505,958.122686,1308.709809,156.470284
30720.000000,792.624390,963.321983,1320.070482,158.013257
31232.000000,802.850989,961.851660,1316.249324,159.762059
31744.000000,803.655512,965.820248,1317.760476,161.083581
32256.000000,801.799802,965.652483,1314.240306,162.768200
