N,Triton,Torch,Naive Softmax,Naive Triton Softmax
256.000000,247.612348,385.394445,69.449720,283.963043
384.000000,359.422672,492.844362,99.804879,402.494559
512.000000,480.623118,638.108665,124.714856,531.148123
640.000000,542.602940,647.705376,147.044906,607.236763
768.000000,649.088672,756.290859,165.764193,726.357904
896.000000,739.718121,851.500105,181.348087,830.236106
1024.000000,851.255028,941.943518,194.989537,952.495686
1152.000000,798.066510,269.112916,209.280487,677.805260
1280.000000,857.372737,296.155525,222.385784,751.065298
1408.000000,929.885741,314.086014,231.810799,800.108158
1536.000000,1012.280756,342.381370,242.418228,865.048497
1664.000000,1061.929980,366.759145,250.208123,914.109235
1792.000000,1141.198075,394.725462,258.871858,989.053851
1920.000000,1181.358795,418.055778,266.506699,1011.405621
2048.000000,1248.848148,447.492164,273.205391,1117.037125
2176.000000,1076.338568,441.987370,277.506922,1002.771589
2304.000000,1127.677879,465.043302,285.808920,1045.850293
2432.000000,1136.594785,467.740981,290.811811,1072.441412
2560.000000,1179.821897,488.232425,297.673096,1164.985038
2688.000000,1211.671477,507.362105,302.264901,1130.283901
2816.000000,1271.363936,531.836868,308.188289,1200.441775
2944.000000,1285.449062,545.503839,310.273363,1248.867772
3072.000000,1338.220791,569.206577,317.578729,1306.806461
3200.000000,1341.824733,550.861927,319.036554,1284.803828
3328.000000,1391.562188,572.410714,324.334107,1316.696644
3456.000000,1404.785915,574.633356,326.818783,1343.660256
3584.000000,1449.967418,595.632298,330.671226,1380.924508
3712.000000,1459.828928,608.289050,331.426694,1409.013104
3840.000000,1510.938242,627.672392,335.886322,1452.782196
3968.000000,1537.320358,640.222261,335.705698,1487.131294
4096.000000,1587.443009,662.048569,337.953844,1542.769148
4224.000000,1117.138293,630.010398,341.466100,1342.612349
4352.000000,1146.072536,648.757480,346.879996,1390.554996
4480.000000,1158.189434,650.922028,347.366489,1415.840803
4608.000000,1190.397215,671.191651,349.583494,1455.265969
4736.000000,1196.103969,685.078488,350.356434,1480.346462
4864.000000,1224.869631,701.911836,354.389332,1521.196727
4992.000000,1261.429148,717.104513,353.864651,1544.884890
5120.000000,1291.329405,734.098098,357.429677,1582.581714
5248.000000,1287.281848,698.184851,358.885537,1583.292267
5376.000000,1319.500398,713.987605,361.451643,1615.531612
5504.000000,1319.567631,720.565173,358.455304,1624.296357
5632.000000,1350.582432,736.823745,355.152613,1665.289981
5760.000000,1347.253258,750.485642,353.613754,1686.754798
5888.000000,1372.896382,766.560483,355.675975,1715.294708
6016.000000,1405.556333,779.061290,354.562194,1734.671390
6144.000000,1433.746104,796.119672,359.301013,1771.426106
6272.000000,1424.992296,746.019318,357.725272,1767.173704
6400.000000,1452.488299,763.026899,364.967250,1789.886520
6528.000000,1458.611768,762.048152,363.201789,1802.736124
6656.000000,1483.358647,779.296513,364.823983,1831.379353
6784.000000,1473.109039,788.429145,364.106164,1844.635336
6912.000000,1496.251237,802.976361,366.808311,1876.042415
7040.000000,1534.253917,815.193800,365.419797,1885.837368
7168.000000,1558.450674,830.351131,369.279552,1911.347232
7296.000000,1549.506194,804.645945,366.117252,1891.732161
7424.000000,1570.385350,819.070052,368.104947,1923.421831
7552.000000,1573.554955,810.838990,367.351885,1929.504758
7680.000000,1595.384122,823.622049,367.168508,1952.863761
7808.000000,1587.493305,833.197148,367.086004,1964.318177
7936.000000,1611.990864,848.069907,371.023764,1985.161841
8064.000000,1644.205759,855.790397,372.266872,2005.519702
8192.000000,1668.867828,580.824126,288.730966,2031.375511
8320.000000,1096.031924,558.338353,289.390419,1252.616693
8448.000000,1111.092345,566.678492,291.452399,1272.305226
8576.000000,1124.302592,567.605641,292.508956,1287.825381
8704.000000,1144.117966,575.819728,294.040449,1306.406295
8832.000000,1155.696510,579.411245,295.711272,1318.941034
8960.000000,1166.405366,589.804211,297.301759,1339.636271
9088.000000,1178.489208,591.182428,297.676423,1352.324972
9216.000000,1190.638494,597.667601,298.405019,1370.760351
9344.000000,1190.862121,571.681997,298.884604,1356.564751
9472.000000,1206.922926,579.467083,298.284519,1372.547601
9600.000000,1214.798820,582.151579,299.617750,1384.945234
9728.000000,1232.636354,589.976920,300.793080,1407.788051
9856.000000,1239.481199,593.533095,301.490064,1420.835082
9984.000000,1255.885183,601.943350,302.061573,1434.903320
10112.000000,1263.031632,605.684870,303.242573,1451.610319
10240.000000,1278.953122,614.829715,304.625345,1470.023711
10368.000000,1277.311891,598.290516,305.293738,1444.065284
10496.000000,1291.410186,605.265830,305.408775,1463.359076
10624.000000,1300.479539,609.207441,306.256869,1475.068626
10752.000000,1320.489209,621.516586,307.881857,1492.597303
10880.000000,1321.365640,623.526182,308.606084,1501.935506
11008.000000,1337.778216,630.676778,309.872373,1520.138778
11136.000000,1340.970047,632.233632,308.204730,1531.501783
11264.000000,1355.671127,639.617535,308.713991,1548.876743
11392.000000,1355.986059,606.904750,308.211530,1534.651085
11520.000000,1370.226965,616.707736,307.480861,1550.132720
11648.000000,1381.857145,621.239354,307.185174,1558.544541
11776.000000,1392.486628,627.172226,308.454852,1577.417200
11904.000000,1400.148911,632.748938,308.518792,1587.901819
12032.000000,1413.756490,639.716289,309.781114,1606.354727
12160.000000,1411.833454,645.538926,309.324353,1618.652382
12288.000000,1426.644994,652.909891,311.183282,1636.078655
12416.000000,1424.399690,636.476982,310.902536,1613.654111
12544.000000,1436.817622,640.153928,310.048433,1628.252868
12672.000000,1448.005478,643.600627,312.133862,1638.629925
